"keyword","cluster","intent","product_relevance","status","tier","target_placement","notes","asodesk_us_daily_impressions","asodesk_us_difficulty","asodesk_us_calculation_status","asodesk_us_source_url","asodesk_us_metric_warning"
"are we compatible","Natural-language intent","Solve a personal question in everyday language","7","Experiment","C","experiment copy only","Natural-language hypothesis; validate before metadata use","","","","","Not queried in current US ASOdesk matrix"
"do our birth charts match","Natural-language intent","Solve a personal question in everyday language","7","Experiment","C","experiment copy only","Natural-language hypothesis; validate before metadata use","","","","","Not queried in current US ASOdesk matrix"
"who am I according to astrology","Natural-language intent","Solve a personal question in everyday language","7","Experiment","C","experiment copy only","Natural-language hypothesis; validate before metadata use","","","","","Not queried in current US ASOdesk matrix"
"why do I react this way astrology","Natural-language intent","Solve a personal question in everyday language","7","Experiment","C","experiment copy only","Natural-language hypothesis; validate before metadata use","","","","","Not queried in current US ASOdesk matrix"
"what are my strengths astrology","Natural-language intent","Solve a personal question in everyday language","7","Experiment","C","experiment copy only","Natural-language hypothesis; validate before metadata use","","","","","Not queried in current US ASOdesk matrix"
"destiny matrix","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"destiny matrix calculator","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"matrix of destiny","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"tarot","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"tarot reading","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"daily tarot","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"numerology","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"numerology calculator","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"life path number","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"dream interpretation","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"dream dictionary","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"psychic reading","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"live astrologer","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"human astrologer consultation","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"astrologer video call","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"astrologer live chat","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"future prediction","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"exact future prediction","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"tomorrow horoscope","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"yearly horoscope","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"child birth chart","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"friend finder astrology","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"astrology social network","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"astrology messenger","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"dating by zodiac","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"birth chart for pets","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"palm reading","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"chakra reading","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"manifestation app","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
"moon rituals","Negative absent feature","Find a feature that MEOU does not provide","0","Negative","NEGATIVE","do not use","Absent from MEOU; monitoring only; never advertise or place in metadata","","","","","Not queried in current US ASOdesk matrix"
